55,MQTT,None,Normal,1076,128,9,29.039,gif,0.377,UPLOAD,"2015-11-13 11:50:07"
56,AMQP,AES,Normal,1076,128,10,29.626,gif,0.174,UPLOAD,"2015-11-12 20:14:13"
57,MQTT,None,Normal,1076,128,9,33.007,gif,0.53,UPLOAD,"2015-11-13 11:50:07"
58,AMQP,AES,Normal,1076,128,10,24.727,gif,0.576,UPLOAD,"2015-11-12 20:14:13"
59,MQTT,None,Normal,1076,128,9,30.351,gif,0.39,UPLOAD,"2015-11-13 11:50:07"
60,AMQP,AES,Normal,1076,128,10,29.235,gif,0.534,UPLOAD,"2015-11-12 20:14:13"
61,AMQP,AES,Normal,6924,512,15,179.732,pdf,1.678,UPLOAD,"2015-11-12 20:14:13"
62,MQTT,None,Normal,1076,128,9,33.214,gif,0.487,UPLOAD,"2015-11-13 11:50:07"
63,MQTT,None,Normal,1076,128,9,21.891,gif,0.373,UPLOAD,"2015-11-13 11:50:07"
64,MQTT,None,Normal,6924,512,14,156.666,pdf,2.35,UPLOAD,"2015-11-13 11:50:07"
65,AMQP,AES,Normal,6924,512,15,95.779,pdf,1.096,UPLOAD,"2015-11-12 20:14:13"
66,MQTT,None,Normal,6924,512,14,80.931,pdf,2.189,UPLOAD,"2015-11-13 11:50:07"
67,AMQP,AES,Normal,6924,512,15,87.319,pdf,1.139,UPLOAD,"2015-11-12 20:14:13"
68,MQTT,None,Normal,6924,512,14,96.305,pdf,2.617,UPLOAD,"2015-11-13 11:50:07"
69,AMQP,AES,Normal,6924,512,15,82.902,pdf,1.89,UPLOAD,"2015-11-12 20:14:13"
70,MQTT,None,Normal,6924,512,14,82.776,pdf,2.849,UPLOAD,"2015-11-13 11:50:07"
71,AMQP,AES,Normal,6924,512,15,70.143,pdf,1.332,UPLOAD,"2015-11-12 20:14:13"
72,AMQP,AES,Normal,829,128,8,10.548,jpg,0.145,UPLOAD,"2015-11-12 20:14:13"
73,MQTT,None,Normal,829,128,7,13.321,jpg,0.268,UPLOAD,"2015-11-13 11:50:07"
74,AMQP,AES,Normal,829,128,8,14.268,jpg,0.268,UPLOAD,"2015-11-12 20:14:13"
